### EC-numbers
1.4.3.-	4.2.1.1	2.7.6.-	3.5.1.88	5.4.99.-	3.1.21.4	2.3.1.48	7.2.1.-	1.16.3.1	3.4.19.12	1.3.8.-	2.7.7.19	2.4.2.-	1.1.1.169	2.4.2.10	3.5.3.1	3.3.2.-	3.1.26.4	7.1.1.9	3.4.13.9	1.1.1.100	5.1.1.-	3.1.22.-	3.4.21.-	1.11.1.-	3.4.22.28	4.6.1.18	3.4.21.4	6.1.1.4	1.15.1.1	3.4.19.-	3.4.11.1	3.4.25.1	1.3.1.9	2.4.99.-	1.1.99.-	1.97.1.12	2.7.4.6	1.17.1.-	1.7.2.-	2.7.1.71	4.2.1.11	3.4.21.90	4.1.99.-	2.8.1.1	3.6.4.13	6.3.4.4	2.7.11.1	2.7.7.23	1.9.3.-	2.3.1.39	4.1.1.11	3.2.1.26	3.1.13.-	1.8.99.-	1.11.1.6	4.2.1.2	5.3.4.1	3.2.1.4	3.4.21.5	1.14.16.-	6.3.4.2	2.1.1.37	1.12.99.-	2.1.1.361	2.1.1.-	3.1.8.1	2.7.11.-	2.3.2.24	2.7.7.48	3.5.1.98	3.1.1.31	2.7.11.22	1.18.1.2	3.1.13.4	4.1.1.23	3.2.2.27	2.5.1.7	1.14.11.-	3.5.1.2	6.3.1.2	4.3.2.-	4.1.2.25	5.3.2.-	2.7.1.1	3.1.11.-	2.7.7.4	3.6.3.14	4.2.1.20	2.3.1.41	1.18.6.1	2.3.1.74	6.3.2.19	3.2.2.22	2.8.4.1	2.4.2.17	2.1.1.56	1.10.3.-	2.5.1.54	1.2.1.11	4.2.1.8	3.1.3.16	1.12.7.2	2.7.1.-	1.17.4.1	2.7.10.-	3.1.2.14	5.3.1.6	3.4.21.91	2.2.1.-	2.7.1.2	2.7.3.-	3.1.22.4	2.3.1.16	4.99.1.-	2.7.1.35	3.4.22.69	3.1.27.-	1.12.7.-	5.1.3.-	2.7.7.65	1.17.4.-	5.3.1.24	4.2.1.59	2.5.1.10	1.8.4.11	3.4.25.-	2.7.10.2	5.2.1.-	6.1.1.3	2.7.7.49	2.8.4.-	4.1.3.-	2.3.1.31	1.1.1.205	3.1.30.-	3.4.23.-	6.5.1.2	6.1.1.15	3.6.4.-	6.2.1.-	4.1.3.3	2.7.7.60	6.3.2.6	5.1.1.3	2.4.2.9	1.14.13.-	1.1.2.-	1.1.1.1	5.1.99.-	2.8.2.-	2.5.1.47	2.7.11.24	3.4.22.15	2.6.1.42	2.1.3.2	3.2.2.9	4.2.3.3	2.6.1.-	1.5.1.-	2.7.7.24	2.1.1.57	6.1.1.20	5.3.1.5	2.7.1.25	2.2.1.1	3.6.1.1	2.3.3.16	6.3.4.-	2.7.7.9	1.18.1.-	4.2.99.-	4.1.2.4	3.1.3.1	5.3.3.8	3.2.1.1	2.7.10.1	4.2.1.113	4.2.2.2	6.1.1.1	3.1.3.-	1.2.4.-	1.6.99.-	2.5.1.18	3.4.22.29	3.1.3.2	1.1.1.27	2.3.1.286	1.14.15.-	2.7.7.3	3.1.13.2	2.7.7.6	5.4.99.18	4.1.1.39	2.7.4.8	5.6.2.1	2.3.1.-	1.7.1.-	1.6.5.2	1.18.6.-	4.6.1.2	2.6.1.52	3.1.6.-	1.6.5.-	2.3.2.31	3.6.5.5	2.8.3.-	2.3.2.-	3.2.1.18	3.5.99.-	3.1.4.35	3.1.8.-	2.3.1.12	1.6.2.-	2.1.1.72	2.3.3.-	3.4.21.92	1.14.11.27	2.7.11.17	2.1.1.359	2.7.13.-	2.5.1.15	6.3.3.-	3.2.1.22	6.1.1.6	4.3.3.7	3.4.11.18	4.2.3.4	3.1.2.-	2.4.2.8	4.1.1.48	3.7.1.-	3.1.4.53	7.2.2.-	2.7.6.5	3.6.5.3	4.3.3.-	2.7.1.21	3.1.4.-	1.11.1.24	3.6.4.10	1.14.14.1	3.5.1.60	3.2.1.52	1.16.3.-	3.1.26.3	3.4.24.69	3.5.1.11	2.1.1.193	1.7.2.1	1.14.99.-	3.6.5.2	2.7.7.n1	4.1.1.-	2.3.2.26	2.4.1.15	2.5.1.-	3.1.3.11	1.14.11.67	2.3.1.180	2.4.2.7	3.6.4.12	2.5.1.19	1.1.1.-	1.8.1.9	1.9.3.1	2.7.1.15	2.7.1.11	3.4.11.-	2.1.2.-	7.6.2.-	3.5.1.28	3.8.1.5	6.3.4.13	1.11.1.9	1.13.11.-	4.1.2.13	3.4.16.4	6.1.1.7	1.1.3.-	2.4.1.129	3.1.1.29	3.4.21.53	3.6.5.-	3.1.1.4	1.1.1.86	3.2.2.-	2.6.1.1	4.2.99.18	5.5.1.-	2.7.11.30	3.1.26.-	1.8.1.4	1.14.14.-	3.2.1.14	3.5.4.-	2.1.2.1	3.2.1.3	1.97.1.-	6.3.4.14	2.7.12.1	2.7.11.25	2.5.1.17	6.3.5.2	6.3.2.1	3.2.1.78	3.1.11.2	1.6.99.3	2.1.2.2	1.1.1.42	7.1.1.8	7.1.1.2	3.1.2.2	3.4.22.46	3.1.3.36	2.4.1.-	3.1.3.33	4.3.2.2	1.14.12.-	1.13.12.-	3.4.22.-	5.3.1.1	4.2.1.-	3.2.1.169	3.2.1.17	6.5.1.1	1.1.1.35	1.3.5.-	1.2.1.3	2.5.1.1	7.2.2.8	6.3.1.-	2.5.1.78	2.7.7.50	2.1.3.-	2.7.7.-	5.4.3.8	2.7.2.4	1.10.3.2	3.1.1.3	3.6.1.15	5.6.2.2	3.1.3.3	3.2.1.20	3.6.1.9	2.3.2.27	3.6.1.23	6.1.1.-	4.2.1.10	3.4.13.-	6.3.2.4	1.1.1.2	3.4.21.107	1.6.99.1	2.7.4.9	1.15.1.-	3.6.1.34	1.3.1.-	3.6.1.55	3.4.24.-	3.6.1.-	4.1.1.50	4.2.2.-	3.3.1.1	3.4.22.1	3.1.4.11	3.5.1.1	3.3.1.-	1.1.1.267	3.2.1.55	1.1.1.25	3.6.1.7	2.7.13.3	2.7.1.40	2.3.1.9	1.7.3.-	5.4.2.-	1.7.1.17	3.2.2.6	4.1.1.33	1.8.5.-	5.3.3.-	3.2.1.31	6.3.5.-	1.14.19.-	6.1.1.11	1.12.99.6	1.4.1.-	4.6.1.1	3.1.3.86	3.2.1.91	4.3.2.10	3.4.16.-	3.1.3.5	3.5.4.4	6.4.1.-	1.17.1.8	2.5.1.16	4.3.1.-	3.4.23.16	6.3.3.1	3.2.1.73	5.1.3.13	1.2.1.12	1.6.2.4	6.1.1.17	2.3.1.1	3.5.3.-	3.2.1.8	2.1.1.45	3.2.1.21	5.1.3.2	2.3.1.129	2.7.2.-	5.3.1.-	2.7.2.8	2.4.2.1	1.14.14.18	3.5.1.5	3.5.4.38	5.4.3.-	6.5.1.-	2.7.12.2	2.5.1.55	1.8.1.7	3.1.21.-	1.8.4.12	1.11.1.15	1.1.1.85	3.6.1.3	2.7.1.33	2.7.8.7	3.1.3.25	3.2.1.96	7.1.1.-	3.2.1.39	2.4.2.3	3.5.4.9	2.2.1.2	3.6.3.-	3.5.1.-	1.11.1.7	1.5.1.5	2.4.2.19	1.8.3.2	1.3.99.-	1.5.3.-	5.6.1.-	1.8.1.-	2.7.3.9	2.5.1.6	3.4.21.62	1.8.4.-	5.3.1.16	2.3.2.2	3.4.17.-	2.7.4.-	3.2.1.-	6.3.1.5	4.3.3.6	2.1.3.3	1.5.1.3	3.5.2.3	5.4.2.11	2.7.7.8	2.8.1.7	2.7.7.7	3.2.1.37	2.7.12.-	5.3.1.9	1.2.7.-	6.1.1.2	7.1.2.-	2.3.1.5	3.4.14.-	6.1.1.10	1.16.1.-	2.1.1.228	3.5.2.6	2.1.1.354	2.7.4.3	4.1.2.-	4.4.1.5	5.3.4.-	4.6.1.-	5.1.1.1	3.4.24.3	4.4.1.-	1.3.7.-	2.3.1.117	5.4.99.5	1.2.1.-	2.4.2.30	1.14.18.-	3.1.1.1	3.1.3.48	3.4.21.98	5.6.2.-	3.1.26.5	7.2.1.1	2.7.11.12	1.3.3.-	2.7.7.18	3.1.1.-	5.2.1.8	2.7.1.69	1.1.1.37	3.6.4.6	3.1.4.17	2.7.11.13	3.5.2.-	4.2.1.17	2.7.2.3	4.2.3.-	5.3.99.-	3.1.1.72	2.3.1.179	3.2.1.23	1.14.13.25	3.1.26.13	3.8.1.-	4.1.1.20	2.7.11.26	6.1.1.21	2.7.11.21	2.7.4.22	1.8.3.-	2.3.1.57	1.3.5.1	3.1.1.53	7.1.2.2	6.4.1.2	2.7.8.-	6.3.2.-	2.8.1.-	3.5.4.5	4.6.1.12	2.3.2.23
### SWISS-MODEL-chain	EC-numbers
Q6LLK1-A	1.1.1.25,1.1.1.-
Q2NQJ2-A	4.2.3.-,4.2.3.4
P0A959-A	2.6.1.-
P59610-A	2.3.1.-
Q9JPA3-D	1.3.7.-
Q12XL7-A	1.2.7.-
Q8U3D6-A	6.2.1.-
Q6IQE9-A	1.14.11.-
Q7VE85-A	2.7.1.71,2.7.1.-
Q7G3T8-A	3.2.1.23,3.2.1.-
Q7VP66-B	6.3.5.-
Q8TMG9-A	4.1.1.-
Q1GVE2-A	4.2.3.-
Q9MAJ7-A	3.2.1.23,3.2.1.-
Q28V48-A	4.3.2.-
B4RBP5-A	2.8.1.-
Q18D35-A	2.8.1.-
A7HP26-A	2.8.1.-
Q8DUW2-A	4.2.3.-,4.2.3.4
A1SMR4-A	3.1.1.-
Q5V0B3-A	3.1.1.-
B9DKN5-A	2.8.1.-
Q92ZT2-A	3.5.3.-
Q6LPR2-A	2.8.1.-
Q700S9-A	3.2.1.23,3.2.1.-
Q58425-B	6.3.5.-
Q8GQN9-A	6.2.1.-
A1VXU6-A	1.2.1.-
Q7NAZ6-A	2.7.2.-
P62060-A	2.3.1.-
A4G0I4-A	4.3.2.-
A8LL46-A	4.3.2.-
B2J1W7-A	4.2.3.-
Q5HP86-A	2.7.7.-
A1WUI9-A	2.5.1.-,2.5.1.19
A0QYS5-A	4.3.2.-
Q5B430-A	3.2.1.39,3.2.1.-
Q8RXD3-A	2.3.2.27,2.3.2.-
Q0VMD3-A	2.1.1.-
P15169-A	3.4.17.-
Q0S0N1-A	2.7.1.71,2.7.1.-
C6E4S6-A	1.2.1.-
Q9NX46-A	3.5.1.-
P35392-A	3.5.2.-,3.5.2.6
A5UUJ4-A	1.3.7.-
A8LQ27-A	1.3.7.-
D9SM34-A	3.2.1.23,3.2.1.-
P29422-A	1.11.1.-,1.11.1.6
Q875S9-A	2.3.1.-
Q04T45-A	1.2.1.-
Q9SA85-A	1.1.1.-
A4G074-A	2.7.7.-
Q9SN27-A	2.3.2.27,2.3.2.-
C5CHW7-A	1.2.1.-
Q9LE06-A	2.6.1.-
Q8PU52-A	2.7.7.-
Q220A0-B	3.5.1.-
A1TDB8-B	1.2.1.-
P19321-A	3.4.24.69,3.4.24.-
Q87L68-A	4.2.3.-,4.2.3.4
B8GF70-A	2.5.1.-,2.5.1.19
B5BSX1-A	1.14.14.-
A2SU05-A	2.5.1.-,2.5.1.19
P07337-A	3.2.1.21,3.2.1.-
Q8TWF8-A	1.2.1.-
A2SPS3-A	2.7.8.-
Q2FRU9-A	2.7.8.-
B8GF42-A	2.7.8.-
Q9LD90-A	5.4.99.-
Q2RG62-A	1.2.1.-
Q8KBH8-A	1.1.1.25,1.1.1.-
B3PGZ3-A	1.1.1.25,1.1.1.-
P15802-A	2.3.1.-
P55215-A	3.4.22.-
Q9SEV0-A	1.3.1.-
B8ESN3-B	2.1.3.-
P37890-A	3.4.16.-
P50388-A	3.2.1.23,3.2.1.-
Q09X08-D	2.1.3.-
Q8RKH2-A	3.4.24.-
Q9JTT3-A	2.5.1.-,2.5.1.19
A7H6S6-A	2.5.1.-,2.5.1.19
P50277-A	2.6.1.-
O26666-A	4.2.1.-,4.2.1.10
P29844-A	3.6.4.-,3.6.4.10
B2V1Y4-B	3.5.1.-
Q54Z60-A	6.2.1.-
B5DGM7-A	4.1.2.13,4.1.2.-
E1WTS4-A	2.8.1.-
Q40024-A	1.2.1.-
Q9M324-A	2.7.11.1,2.7.11.-
A8G4T4-A	1.2.1.-
Q9JJS6-A	1.13.11.-
A3PP56-A	4.2.1.-,4.2.1.10
Q5KWX7-A	1.1.1.25,1.1.1.-
Q8EQV8-B	3.5.1.-
P08861-C	3.4.21.-
P15289-A	3.1.6.-
C0Z6S0-A	6.3.4.-
A9BPU5-D	7.1.2.-,7.1.2.2
Q1GE59-A	2.4.2.-,2.4.2.7
Q9F6X5-D	1.3.7.-
O28126-C	2.7.7.-
Q867B0-A	3.4.21.-
B3CRK6-D	7.1.2.-,7.1.2.2
Q5RJP0-A	1.1.1.-
A7ZJI4-A	2.8.1.-
Q9FMD8-A	3.2.1.21,3.2.1.-
B2IJF4-A	4.1.1.-
Q7V839-D	2.1.3.-
D3ZLY0-A	2.1.1.-
A8KB34-A	3.5.1.-
Q8P3J4-A	2.4.1.-
Q62210-A	2.3.2.27,2.3.2.-
A3MTU5-A	4.1.1.-
Q03EL4-A	7.1.2.-,7.1.2.2
Q9LV16-A	2.4.1.-
Q0RD46-A	2.8.1.-
Q7XSQ5-A	2.7.11.1,2.7.11.-
Q6DHQ3-A	3.5.1.-
Q6CJK6-A	3.1.2.-
A2S7V6-A	6.3.4.-
Q84T92-A	5.5.1.-
P63564-A	1.2.1.-
B1IX04-A	7.1.2.-,7.1.2.2
C5BDQ5-A	2.4.2.-
Q7YRZ1-A	3.1.11.-
Q9FXW4-B	1.14.14.-
B1YD10-A	4.1.1.-
P59785-A	5.3.1.-
Q9WVM8-A	2.6.1.-
Q1BL32-A	3.5.99.-
B9DMJ0-A	2.7.8.7,2.7.8.-
A8G8G7-A	6.2.1.-
Q9KWS5-A	1.2.1.-
A5GSL0-A	2.4.2.-,2.4.2.7
Q91XE4-A	3.5.1.-
Q9UBX8-A	2.4.1.-
Q5KMX3-A	3.5.99.-
Q47N45-A	2.4.2.-,2.4.2.7
A5G9D6-A	7.1.2.-,7.1.2.2
A7H8F4-A	2.4.2.-,2.4.2.7
P9WIS2-C	1.2.4.-
Q3KCC2-A	2.4.2.-
O84371-A	2.5.1.-,2.5.1.19
A8ESP0-A	2.4.2.-,2.4.2.7
Q55404-A	6.2.1.-
Q9S469-A	5.1.3.-
Q9C5A9-D	7.1.2.-,7.1.2.2
Q65LN0-A	3.5.2.-
Q9SE50-A	3.2.1.-
Q7SY23-A	1.2.1.-
B3QQR6-A	2.1.3.-
P79761-A	1.14.14.-,1.14.14.1
A9KK15-A	2.1.1.-
Q1GNH3-A	2.7.2.8,2.7.2.-
Q9Z8L0-A	4.1.1.-
B1Z872-A	2.7.8.7,2.7.8.-
A8Z6C7-A	7.1.2.-,7.1.2.2
Q97EB4-A	2.7.1.33,2.7.1.-
Q8DZA4-A	2.4.2.-,2.4.2.7
Q81WT0-A	3.5.1.-
Q3A2F4-A	3.6.1.-,3.6.1.7
Q9LY50-A	2.7.11.1,2.7.11.-
Q0AUD3-A	7.1.2.-,7.1.2.2
Q9YEK6-A	2.7.1.71,2.7.1.-
Q8GAK7-A	1.2.1.-,1.2.1.3
Q8UH56-A	1.2.1.-
Q5QWS1-A	2.4.2.-,2.4.2.7
D4ARJ9-A	3.4.11.-
P08594-A	3.4.21.-
Q28W00-A	2.7.1.-
Q07973-A	1.14.15.-
Q8Y6W8-A	2.7.1.-
A1B474-A	2.5.1.-,2.5.1.19
Q9KDS9-A	6.3.4.-,6.3.4.14
Q6MF52-A	4.2.3.-,4.2.3.4
A3CNV9-A	4.2.1.-,4.2.1.10
B8D075-A	2.7.1.33,2.7.1.-
Q09437-A	2.7.11.22,2.7.11.-
P43873-A	6.3.4.-,6.3.4.14
Q9C826-A	1.1.1.-
A3CRT9-A	2.7.2.8,2.7.2.-
Q85AU2-A	7.1.2.-,7.1.2.2
P32562-A	2.7.11.21,2.7.11.-
Q39WQ9-A	3.1.1.-
Q8PYC8-A	2.3.1.-
A1WUV1-A	3.4.11.1,3.4.11.-
B7LAS0-A	2.1.2.-
Q03W57-A	2.4.2.-,2.4.2.7
Q6ZDE3-A	1.14.14.-
Q1LRM9-A	2.4.2.-,2.4.2.7
A2BVS6-A	2.5.1.-,2.5.1.19
Q6KHU1-A	1.7.1.-,1.7.1.17
Q5YYJ6-A	2.7.1.-
Q31DD4-A	2.7.1.-
Q9V1H9-A	4.2.3.-,4.2.3.4
O87125-A	3.1.1.-
Q6BZF9-A	2.4.2.-,2.4.2.7
P51559-A	3.4.21.-
B7LM78-A	2.6.1.-
Q9XAB7-A	3.1.1.-,3.1.1.31
Q9A807-A	2.7.8.7,2.7.8.-
Q2KVB0-A	1.7.1.-,1.7.1.17
B4KSL6-A	2.1.1.-
Q8GLH5-A	3.1.3.-
Q30WB0-A	2.7.2.-
B8CPA0-A	3.5.1.-
Q9SN43-A	2.7.11.1,2.7.11.-
Q6D7C2-A	3.1.1.-,3.1.1.31
Q7WPH6-A	2.1.2.1,2.1.2.-
P92937-A	2.7.11.1,2.7.11.-
P50584-A	3.6.1.-
Q0HIL5-A	3.5.1.-
Q8MA05-E	7.1.2.-,7.1.2.2
Q03059-A	2.3.1.-
Q8HYM9-A	1.14.14.-
P54802-A	3.2.1.-
